playerId	playerName	position	team	point
56274	Y. Poulsen	[{'y': 78, 'x': 66}, {'y': 79, 'x': 73}]	Denmark	36
405	L. Sch\u00f6ne	[{'y': 67, 'x': 55}, {'y': 72, 'x': 59}]	Denmark	29
15080	N. J\u00f8rgensen	[{'y': 75, 'x': 75}, {'y': 75, 'x': 63}]	Denmark	34
69404	M. Kova\u010di\u0107	[{'y': 26, 'x': 40}, {'y': 42, 'x': 33}]	Croatia	25
69964	J. Pivari\u0107	[{'y': 8, 'x': 88}, {'y': 37, 'x': 92}]	Croatia	38
69411	A. Kramari\u0107	[{'y': 6, 'x': 41}, {'y': 6, 'x': 32}]	Croatia	44
56025	M. Krohn-Dehli	[{'y': 77, 'x': 34}, {'y': 85, 'x': 29}]	Denmark	6
241945	P. Sisto	[{'y': 37, 'x': 17}, {'y': 53, 'x': 17}]	Denmark	37
69400	M. Badelj	[{'y': 50, 'x': 54}, {'y': 50, 'x': 56}]	Croatia	28
99902	P. Zieli\u0144ski	[{'y': 50, 'x': 51}, {'y': 42, 'x': 32}]	Poland	25
25537	G. Krychowiak	[{'y': 42, 'x': 32}, {'y': 93, 'x': 60}]	Poland	30
14730	T. Usami	[{'y': 7, 'x': 40}, {'y': 0, 'x': 43}]	Japan	23
99833	B. Bereszy\u0144ski	[{'y': 100, 'x': 60}, {'y': 84, 'x': 43}]	Poland	17
21097	K. Glik	[{'y': 84, 'x': 43}, {'y': 37, 'x': 33}]	Poland	10
240032	J. Bednarek	[{'y': 37, 'x': 33}, {'y': 93, 'x': 29}]	Poland	36
20517	Y. Nagatomo	[{'y': 2, 'x': 39}, {'y': 29, 'x': 88}]	Japan	34
94764	Y. Muto	[{'y': 29, 'x': 88}, {'y': 27, 'x': 88}]	Japan	8
7847	\u0141. Fabia\u0144ski	[{'y': 73, 'x': 12}, {'y': 72, 'x': 22}]	Poland	8
33032	K. Grosicki	[{'y': 97, 'x': 54}, {'y': 98, 'x': 66}]	Poland	26
94828	G. Shibasaki	[{'y': 17, 'x': 32}, {'y': 16, 'x': 28}]	Japan	43
14817	R. Lewandowski	[{'y': 83, 'x': 68}, {'y': 84, 'x': 72}]	Poland	17
94630	T. Makino	[{'y': 16, 'x': 28}, {'y': 18, 'x': 35}]	Japan	11
99381	A. J\u0119drzejczyk	[{'y': 23, 'x': 63}, {'y': 34, 'x': 85}]	Poland	-2
703	M. Yoshida	[{'y': 66, 'x': 15}, {'y': 77, 'x': 11}]	Japan	70
225324	R. Kurzawa	[{'y': 0, 'x': 100}, {'y': 48, 'x': 96}]	Poland	11
100140	J. G\u00f3ralski	[{'y': 12, 'x': 40}, {'y': 39, 'x': 26}]	Poland	13
14763	S. Okazaki	[{'y': 3, 'x': 80}, {'y': 3, 'x': 81}]	Japan	18
14749	G. Sakai	[{'y': 89, 'x': 48}, {'y': 94, 'x': 39}]	Japan	4
94695	H. Sakai	[{'y': 94, 'x': 43}, {'y': 92, 'x': 45}]	Japan	46
95010	H. Yamaguchi	[{'y': 12, 'x': 36}, {'y': 11, 'x': 46}]	Japan	2
37896	E. Kawashima	[{'y': 68, 'x': 13}, {'y': 68, 'x': 25}]	Japan	44
94831	Y. \u014csako	[{'y': 12, 'x': 62}, {'y': 16, 'x': 64}]	Japan	42
14836	T. Inui	[{'y': 9, 'x': 43}, {'y': 52, 'x': 29}]	Japan	28
99479	\u0141. Teodorczyk	[{'y': 67, 'x': 66}, {'y': 50, 'x': 54}]	Poland	-1
15282	S. Peszko	[{'y': 23, 'x': 69}, {'y': 2, 'x': 58}]	Poland	0
14929	M. Hasebe	[{'y': 64, 'x': 33}, {'y': 45, 'x': 35}]	Japan	13
3682	A. Griezmann	[{'y': 50, 'x': 50}, {'y': 69, 'x': 33}]	France	87
3309	R. Varane	[{'y': 69, 'x': 33}, {'y': 74, 'x': 70}]	France	96
26010	O. Giroud	[{'y': 74, 'x': 70}, {'y': 76, 'x': 69}]	France	46
86722	N. Tagliafico	[{'y': 26, 'x': 30}, {'y': 24, 'x': 31}]	Argentina	41
90991	F. Armani	[{'y': 23, 'x': 28}, {'y': 29, 'x': 69}]	Argentina	28
7936	P. Pogba	[{'y': 71, 'x': 31}, {'y': 87, 'x': 34}]	France	113
353833	K. Mbapp\u00e9	[{'y': 87, 'x': 34}, {'y': 83, 'x': 23}]	France	123
340646	B. Pavard	[{'y': 83, 'x': 23}, {'y': 47, 'x': 8}]	France	57
25381	H. Lloris	[{'y': 47, 'x': 8}, {'y': 28, 'x': 18}]	France	44
25397	S. Umtiti	[{'y': 28, 'x': 18}, {'y': 73, 'x': 29}]	France	107
3280	\u00c9. Banega	[{'y': 28, 'x': 62}, {'y': 6, 'x': 62}]	Argentina	20
101652	M. Rojo	[{'y': 20, 'x': 28}, {'y': 9, 'x': 39}]	Argentina	35
70086	N. Otamendi	[{'y': 74, 'x': 26}, {'y': 97, 'x': 28}]	Argentina	65
86220	G. Mercado	[{'y': 97, 'x': 28}, {'y': 97, 'x': 42}]	Argentina	19
